# Your label shares no word with what the emulator says the game is.
# These are the ones worth looking at: likely the wrong title entirely.
romset	your label	what the emulator calls it
4play.zip	ZZZ(notgame):Neo-geo Bios	4 player input test
aso.zip	Alpha Mission	ASO - Armored Scrum Object
bace.zip	bace	Balloon Ace
badapple.zip	ZZZ(notgame):Demos	Bad Apple (HB, Tech-Demo)
beast.zip	ZZZ(notgame):Demos	Shadow of the Beast (Neo Geo demo)
berabohm.zip	Beraboh Man	Chou Zetsurinjin Berabowman (Japan, Rev C)
brubber.zip	Bump 'n' Jump	Burnin' Rubber
bublbust.zip	Puzzle Bobble	Bubble Buster (USA, B-System)
cachat.zip	Tube-it	Cachat (Japan)
cgraplop.zip	Graplop	Cluster Buster (DECO Cassette) (US)
cndi.zip	ZZZ(notgame):Demos	Chip n Dale (FMV Demo)
combatsc.zip	Boot Camp	Combat School (joystick)
croquis.zip	Logic Pro	Croquis (Korea)
crush.zip	Make Trax	Crush Roller (set 1)
dderby.zip	dderby	Death Derby
ducki.zip	ZZZ(notgame):Demos	Duck Tales (FMV Demo)
dwi.zip	ZZZ(notgame):Demos	DarkWing Duck (FMV Demo)
dynablst.zip	Atomic Punk	Dynablaster / Bomber Man
ffightaec2.zip	ffightaec2	Final Fight: Anniversary Edition (CPS2 hardware)
firebarr.zip	Air Assault	Fire Barrel (Japan)
formatz.zip	Aeroboto	Formation Z
gberet.zip	Rush'n Attack	Green Beret
ghostbi.zip	ZZZ(notgame):Demos	Ghost Busters (FMV Demo)
happy6.zip	Happy 6-in-1	Huanle Liu He Yi (Happy 6-in-1) (M68K ver. V101, ARM ver. V102CN)
kengo.zip	Lightning Swords	Ken-Go (World)
ktiger2.zip	Twin Cobra II	Kyukyoku Tiger II (Ver 2.1J 1995/11/30)
madgear.zip	Led Storm	Mad Gear (US)
mahoudai.zip	Sorcer Striker	Mahou Daisakusen (Japan)
mariner.zip	800 Fathoms	Mariner
neo2500.zip	ZZZ(notgame):Demos	Neo 2500 Demo
neo3ddmo.zip	ZZZ(notgame):Demos	NeoGeo 3D! (HB, Demo)
neocstlv.zip	ZZZ(notgame):Demos	Neo CastleVania (HB, Demo)
neodemo.zip	ZZZ(notgame):Demos	Chaos Demo (Neo Geo)
neogalag.zip	ZZZ(notgame):Demos	Galaga Demo (HB, set 1)
neoprimo.zip	ZZZ(notgame):neoprimo	Primo (HB, Demo)
neoww2.zip	ZZZ(notgame):Neo-geo Bios	WW2 - Arcade Development Project (HB, Demo)
ngftdemo.zip	ZZZ(notgame):Demos	NGF Transparency (HB, Demo)
ninjakun.zip	Ninja-kun: Adventure of Devil Castle	Ninjakun Majou no Bouken
nob.zip	Zippy Bug	Noboranka (Japan)
oisipuzl.zip	Triple Fun	Oishii Puzzle Ha Irimasenka
p47.zip	P47 Thunderbolt	P-47: The Phantom Fighter (World)
pang.zip	Buster Bros.	Pang (World)
pbobble2.zip	Bust-A-Move Again	Puzzle Bobble 2 (Ver 2.3O 1995/07/31)
robocopi.zip	ZZZ(notgame):Demos	Robocop (FMV Demo)
saiyugou.zip	China Gate	Sai Yu Gou Ma Roku (Japan)
secretag.zip	Sly Spy	Secret Agent (World, revision 3)
shadoww.zip	Ninja Gaiden	Shadow Warriors (World, set 1)
shippumd.zip	Kingdom Grandprix	Shippu Mahou Daisakusen (Japan)
sokoban.zip	Boxy Boy	Sokoban LE
solrwarr.zip	Soldier of Light	Solar-Warrior (US)
spec2k.zip	Fire Hawk	Spectrum 2000 (vertical, Korea)
spidermi.zip	ZZZ(notgame):Demos	Spiderman (FMV Demo)
stagger1.zip	Red Hawk	Stagger I (Japan)
supduck.zip	Hell Out	Super Duck
tekipaki.zip	The Brain Washing Game	Teki Paki
thndzone.zip	Desert Assault	Thunder Zone (World, Rev 1)
timesup.zip	ZZZ(notgame):Timesup	Time's UP! (HB)
tmnti.zip	ZZZ(notgame):Demos	Teenage Mutant Ninja Turtles (FMV Demo)
turtles.zip	600	Turtles
twcup90.zip	Euro League	Tecmo World Cup '90 (World set 1)
vfive.zip	Grind Stormer	V-Five (Japan)
wofch.zip	Warriors of Fate	Tenchi wo Kurau II: Sekiheki no Tatakai (CPS Changer, Japan 921031)
xeviousng.zip	xeviousng	Xevious - Neo Geo Conversion (HB, Beta1)
