# Games from Wikipedia's 'List of video games listed among the best' — a sourced,
# cited canon rather than a star rating. Checked against your server and the
# Super Game HDD.
status	year	game	where	path_on_drive
have	1977	Combat	arcade	
have	1978	Space Invaders	gb	
have	1979	Asteroids	arcade	
have	1980	Battlezone	arcade	
have	1980	Missile Command	arcade	
have	1980	Pac-Man	gamegear	
have	1981	Centipede	arcade	
have	1981	Defender	arcade	
have	1981	Donkey Kong	arcade	
have	1981	Frogger	arcade	
have	1981	Galaga	arcade	
have	1981	Tempest	arcade	
have	1981	Wizardry: Proving Grounds of the Mad Overlord	nes	
have	1982	Joust	arcade	
have	1982	Ms. Pac-Man	arcade	
have	1982	Robotron: 2084	arcade	
have	1983	Lode Runner	arcade	
have	1983	M.U.L.E.	nes	
have	1983	Star Wars	arcade	
have	1984	Tetris	arcade	
have	1984	Marble Madness	gamegear	
have	1985	Gauntlet	arcade	
have	1985	Ghosts 'n Goblins	arcade	
have	1985	Super Mario Bros.	nes	
have	1986	Arkanoid	arcade	
have	1986	Bubble Bobble	arcade	
have	1986	The Legend of Zelda	nes	
have	1986	Metroid	nes	
have	1986	Out Run	arcade	
have	1987	Contra	arcade	
have	1987	Double Dragon	arcade	
have	1987	Mike Tyson's Punch-Out!!	nes	
have	1987	R-Type	arcade	
have	1987	Sid Meier's Pirates!	nes	
have	1988	Mega Man 2	nes	
have	1988	Ninja Gaiden	arcade	
have	1988	Super Mario Bros. 3	nes	
have	1989	Final Fight	arcade	
have	1989	Populous	mastersystem	
have	1989	Prince of Persia	gamegear	
have	1989	SimCity	snes	
have	1990	Pilotwings	snes	
have	1990	Speedball 2: Brutal Deluxe	gb	
have	1990	Super Mario World	snes	
have	1991	The Legend of Zelda: A Link to the Past	snes	
have	1991	Lemmings	arcade	
have	1991	Micro Machines	gamegear	
have	1991	Sonic the Hedgehog	gamegear	
have	1991	Street Fighter II	gb	
have	1991	Super Castlevania IV	snes	
have	1992	Contra III: The Alien Wars	snes	
have	1992	Mortal Kombat	arcade	
have	1992	Sensible Soccer	megadrive	
have	1992	Sonic the Hedgehog 2	gamegear	
have	1992	Streets of Rage 2	gamegear	
have	1992	Super Mario Kart	snes	
have	1992	Virtua Racing	megadrive	
have	1992	Wolfenstein 3D	gba	
have	1993	Doom	snes	
have	1993	Gunstar Heroes	gamegear	
have	1993	The Legend of Zelda: Link's Awakening	gb	
have	1993	Mega Man X	snes	
have	1993	Mortal Kombat II	gamegear	
have	1993	NBA Jam	arcade	
have	1993	Ridge Racer	psp	
have	1993	Secret of Mana	snes	
have	1993	Samurai Shodown	arcade	
have	1993	SimCity 2000	gba	
have	1993	Star Fox	snes	
have	1993	Syndicate	megadrive	
have	1994	Donkey Kong Country	gba	
have	1994	EarthBound	snes	
have	1994	Puzzle Bobble	arcade	
have	1994	Super Metroid	snes	
have	1994	Theme Park	megadrive	
have	1994	Virtua Fighter 2	megadrive	
have	1995	Chrono Trigger	nds	
have	1995	Sega Rally Championship	gba	
have	1995	Worms	gb	
have	1996	Duke Nukem 3D	megadrive	
have	1996	PaRappa the Rapper	psp	
have	1996	Super Mario 64	n64	
have	1997	Castlevania: Symphony of the Night	psx	
have	1997	Final Fantasy VII	famicom	
have	1997	GoldenEye 007	n64	
have	1997	Gran Turismo	psp	
have	1997	Grand Theft Auto	gbc	
have	1997	Star Fox 64	n64	
have	1997	Tekken 3	psx	
have	1998	Banjo-Kazooie	n64	
have	1998	Crash Bandicoot: Warped	psx	
have	1998	The Legend of Zelda: Ocarina of Time	n64	
have	1998	Metal Gear Solid	psx	
have	1998	Soulcalibur	dc	
have	1999	Crazy Taxi	dc	
have	1999	Final Fantasy VIII	psx	
have	1999	Gran Turismo 2	psx	
have	1999	Shenmue	dc	
have	1999	Silent Hill	psx	
have	1999	Tony Hawk's Pro Skater	gb	
have	2000	Final Fantasy IX	psx	
have	2000	The Legend of Zelda: Majora's Mask	n64	
have	2000	Perfect Dark	gbc	
have	2000	Tony Hawk's Pro Skater 2	gba	
