romset	your label	what the emulator calls it
4in1boot.zip	Puzzle King (Dance & Puzzle)	Puzzle King (PacMan 2, Tetris, HyperMan 2, Snow Bros.)
4play.zip	ZZZ(notgame):Neo-geo Bios	4 player input test
armedf.zip	Armed Formation	Armed F (Japan)
aso.zip	Alpha Mission	ASO - Armored Scrum Object
bace.zip	bace	Balloon Ace
badapple.zip	ZZZ(notgame):Demos	Bad Apple (HB, Tech-Demo)
bbmanw.zip	New Atomic Punk - Global Quest	Bomber Man World / New Dyna Blaster - Global Quest
beast.zip	ZZZ(notgame):Demos	Shadow of the Beast (Neo Geo demo)
berabohm.zip	Beraboh Man	Chou Zetsurinjin Berabowman (Japan, Rev C)
bigprowr.zip	Tag Team Wrestling	The Big Pro Wrestling! (set 1)
bishi.zip	Bishi Bashi Championship Mini Game Senshuken	Bishi Bashi Champ Mini Game Senshuken (ver JAA, 3 Players)
bonkadv.zip	Bonk's Adventure - Arcade Version	B.C. Kid (Europe) / Bonk's Adventure: Arcade Version (US, China, Korea) / Kyukyoku!! PC Genjin: Special Arcade Version (Japan)
brubber.zip	Bump 'n' Jump	Burnin' Rubber
bublbob2.zip	Bubble Symphony	Bubble Bobble II (Ver 2.6O 1994/12/16)
bublbust.zip	Puzzle Bobble	Bubble Buster (USA, B-System)
bwings.zip	Battle Wings	B-Wings (Japan new Ver.)
cachat.zip	Tube-it	Cachat (Japan)
cbuster.zip	Two Crude	Crude Buster (World FX version)
cgraplop.zip	Graplop	Cluster Buster (DECO Cassette) (US)
chelnov.zip	Chelnov - Atomic Runner	Atomic Runner Chelnov (World)
cndi.zip	ZZZ(notgame):Demos	Chip n Dale (FMV Demo)
combatsc.zip	Boot Camp	Combat School (joystick)
cotton.zip	Cotton: Fantastic Night Dreams	Cotton (set 4, World) (FD1094 317-0181a)
cphd.zip	Crouching Pony Hidden Dragon	Crouching Poney Hidden Dragon (HB, Demo)
cps1demo.zip	ZZZ(notgame):Chaos Demo	Chaos Demo (CPS-1)
croquis.zip	Logic Pro	Croquis (Korea)
crswd2bl.zip	Crossed Swords II	Crossed Swords 2 (bootleg of CD version)
crush.zip	Make Trax	Crush Roller (set 1)
ctsttape.zip	ZZZ(notgame):Test Tape	Test Tape (DECO Cassette) (US)
dderby.zip	dderby	Death Derby
ddp3.zip	DoDonPachi DaiOuJou	DoDonPachi III (World, 2002.05.15 Master Ver)
ddpdfk.zip	DoDonPachi Resurrection	DoDonPachi Dai-Fukkatsu Ver 1.5 (2008/06/23 MASTER VER 1.5)
decomult.zip	ZZZ(notgame):Deco Cassette System Multigame	DECO Cassette System ROM Multigame (David Widel)
drgnunit.zip	Castle of Dragon	Dragon Unit / Castle of Dragon
ducki.zip	ZZZ(notgame):Demos	Duck Tales (FMV Demo)
dwi.zip	ZZZ(notgame):Demos	DarkWing Duck (FMV Demo)
dwpc.zip	Chuugokuryuu Pretty Chance [dragon World Pretty Chance]	Zhongguo Long Pretty Chance [Dragon World Pretty Chance] (V110 03/19/02 11:13:16, China)
dynablst.zip	Atomic Punk	Dynablaster / Bomber Man
eswat.zip	E-swat - Cyber Police	Cyber Police ESWAT (set 4, World) (FD1094 317-0130)
fantzn2x.zip	Fantasy Zone II - The Tears of Opa-Opa (2008)	Fantasy Zone II - The Tears of Opa-Opa (System 16C version)
ffightaec2.zip	ffightaec2	Final Fight: Anniversary Edition (CPS2 hardware)
firebarr.zip	Air Assault	Fire Barrel (Japan)
formatz.zip	Aeroboto	Formation Z
fshark.zip	Sky Shark	Flying Shark (World)
gaunt2.zip	Gauntlet 2	Gauntlet II
gberet.zip	Rush'n Attack	Green Beret
ghostbi.zip	ZZZ(notgame):Demos	Ghost Busters (FMV Demo)
gogomile.zip	Go Go! Mile Smile	Susume! Mile Smile / Go Go! Mile Smile (newer)
happy6.zip	Happy 6-in-1	Huanle Liu He Yi (Happy 6-in-1) (M68K ver. V101, ARM ver. V102CN)
jojobar1.zip	JoJo's Bizarre Adventure: Last Survivor	JoJo's Bizarre Adventure (Europe 990927)
karnovr.zip	Fighter's History Dynamite	Karnov's Revenge / Fighter's History Dynamite
