# Names as the emulator reads them out of the romset, with the region it states.
# 'check' rows are where your label shares no word with the emulator's.
romset	your label	game	region	suggested name	class
10yard.zip	10-Yard Fight	10-Yard Fight (set 1)	World	10-Yard Fight (set 1) (World)	alias
1941.zip	1941: Counter Attack	1941: Counter Attack (World 900227)	—	1941: Counter Attack (World 900227)	alias
1943.zip	1943: The Battle Of Midway	1943: The Battle of Midway (Euro)	—	1943: The Battle of Midway (Euro)	alias
1943kai.zip	1943 Kai: Midway Kaisen	1943 Kai: Midway Kaisen	Japan	1943 Kai: Midway Kaisen (Japan)	alias
1943mii.zip	1943: The Battle Of Midway Mark II	1943: The Battle of Midway Mark II	USA	1943: The Battle of Midway Mark II (USA)	alias
1944.zip	1944: The Loop Master	1944: The Loop Master (Europe 000620)	—	1944: The Loop Master (Europe 000620)	alias
1945kiii.zip	1945k III	1945k III (newer, OPCX2 PCB)	—	1945k III (newer, OPCX2 PCB)	alias
19xx.zip	19XX: The War Against Destiny	19XX: The War Against Destiny (Europe 960104)	—	19XX: The War Against Destiny (Europe 960104)	alias
19yy.zip	19YY	19YY (Neo CD conversion, ADK World)	—	19YY (Neo CD conversion, ADK World)	alias
2020bb.zip	2020 Super Baseball	2020 Super Baseball (set 1)	—	2020 Super Baseball (set 1)	alias
20pacgal.zip	Ms. Pac-man/Galaga - 20th Anniversary Class of 1981 Reunion	Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.08)	—	Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.08)	alias
3countb.zip	3 Count Bout	3 Count Bout / Fire Suplex (NGM-043 ~ NGH-043)	—	3 Count Bout / Fire Suplex (NGM-043 ~ NGH-043)	alias
3in1semi.zip	New HyperMan	New HyperMan (3-in-1 with Cookie & Bibi & HyperMan) (set 1)	—	New HyperMan (3-in-1 with Cookie & Bibi & HyperMan) (set 1)	alias
3kokushi.zip	Sankokushi	Sankokushi	Japan	Sankokushi (Japan)	alias
3on3dunk.zip	3 On 3 Dunk Madness	3 On 3 Dunk Madness (prototype? 1997/02/04)	USA	3 On 3 Dunk Madness (prototype? 1997/02/04) (USA)	alias
3stooges.zip	The Three Stooges In Brides Is Brides	The Three Stooges In Brides Is Brides (set 1)	—	The Three Stooges In Brides Is Brides (set 1)	alias
3wonders.zip	Three Wonders	Three Wonders (World 910520)	—	Three Wonders (World 910520)	alias
3x3puzzl.zip	3x3 Puzzle	3X3 Puzzle (Enterprise)	—	3X3 Puzzle (Enterprise)	alias
4dwarrio.zip	4-D Warriors	4-D Warriors (315-5162)	—	4-D Warriors (315-5162)	alias
4enraya.zip	4 En Raya	4 En Raya (set 1)	—	4 En Raya (set 1)	alias
4in1.zip	4 Fun In 1	4 Fun in 1	—	4 Fun in 1	alias
4in1boot.zip	Puzzle King (Dance & Puzzle)	Puzzle King (PacMan 2, Tetris, HyperMan 2, Snow Bros.)	—	Puzzle King (PacMan 2, Tetris, HyperMan 2, Snow Bros.)	alias
4play.zip	ZZZ(notgame):Neo-geo Bios	4 player input test	—	4 player input test	check
64street.zip	64th. Street - A Detective Story	64th. Street: A Detective Story	World	64th. Street: A Detective Story (World)	alias
7ordi.zip	7 Ordi	7 Ordi	Korea	7 Ordi (Korea)	alias
abcop.zip	A.B. Cop	A.B. Cop (FD1094 317-0169b)	World	A.B. Cop (FD1094 317-0169b) (World)	alias
aceattac.zip	Ace Attacker	Ace Attacker (FD1094 317-0059)	—	Ace Attacker (FD1094 317-0059)	alias
actfancr.zip	Act-Fancer: Cybernetick Hyper Weapon	Act-Fancer Cybernetick Hyper Weapon (World revision 3)	—	Act-Fancer Cybernetick Hyper Weapon (World revision 3)	alias
aerofgt.zip	Aero Fighters	Aero Fighters (World / USA + Canada / Korea / Hong Kong / Taiwan) (newer hardware)	—	Aero Fighters (World / USA + Canada / Korea / Hong Kong / Taiwan) (newer hardware)	alias
afighter.zip	Action Fighter	Action Fighter (FD1089A 317-0018)	—	Action Fighter (FD1089A 317-0018)	alias
agallet.zip	Air Gallet	Air Gallet	Europe	Air Gallet (Europe)	alias
agress.zip	Agress - Missile Daisenryaku	Agress - Missile Daisenryaku	Japan	Agress - Missile Daisenryaku (Japan)	alias
airass.zip	Air Assault	Air Assault	World	Air Assault (World)	alias
airattck.zip	Air Attack	Air Attack (set 1)	—	Air Attack (set 1)	alias
airbustr.zip	Air Buster: Trouble Specialty Raid Unit	Air Buster: Trouble Specialty Raid Unit	World	Air Buster: Trouble Specialty Raid Unit (World)	alias
airduel.zip	Air Duel	Air Duel (M82 hardware)	World	Air Duel (M82 hardware) (World)	alias
akatana.zip	Akai Katana	Akai Katana (2010/ 8/13 MASTER VER.)	—	Akai Katana (2010/ 8/13 MASTER VER.)	alias
akazukin.zip	Akazukin 	Akazukin	Japan	Akazukin (Japan)	alias
akiss.zip	Mahjong Angel Kiss	Mahjong Angel Kiss (ver 1.0)	—	Mahjong Angel Kiss (ver 1.0)	alias
akkaarrh.zip	Akka Arrh	Akka Arrh (prototype)	—	Akka Arrh (prototype)	alias
alcon.zip	Alcon (US)	Alcon	USA	Alcon (USA)	alias
alexkidd.zip	Alex Kidd: The Lost Stars	Alex Kidd: The Lost Stars (set 2, unprotected)	—	Alex Kidd: The Lost Stars (set 2, unprotected)	alias
alibaba.zip	Ali Baba And 40 Thieves	Ali Baba and 40 Thieves	—	Ali Baba and 40 Thieves	alias
alien3.zip	Alien 3: The Gun	Alien3: The Gun	World	Alien3: The Gun (World)	alias
aliencha.zip	Alien Challenge	Alien Challenge	World	Alien Challenge (World)	alias
alienres.zip	Alien Rescue	Alien Rescue (Homebrew, Test Build July 2019)	—	Alien Rescue (Homebrew, Test Build July 2019)	alias
aliensyn.zip	Alien Syndrome	Alien Syndrome (set 4, System 16B, unprotected)	—	Alien Syndrome (set 4, System 16B, unprotected)	alias
aligator.zip	Alligator Hunt	Alligator Hunt (protected, checksum 2B34128B)	World	Alligator Hunt (protected, checksum 2B34128B) (World)	alias
aligatorun.zip	Alligator Hunt	Alligator Hunt (unprotected, checksum F9C6891D)	—	Alligator Hunt (unprotected, checksum F9C6891D)	alias
alpha1v.zip	Alpha One	Alpha One (Vision Electronics)	—	Alpha One (Vision Electronics)	alias
alpham2.zip	Alpha Mission II	Alpha Mission II / ASO II - Last Guardian (NGM-007 ~ NGH-007)	—	Alpha Mission II / ASO II - Last Guardian (NGM-007 ~ NGH-007)	alias
alpine.zip	Alpine Ski	Alpine Ski (set 1)	—	Alpine Ski (set 1)	alias
altbeast.zip	Altered Beast	Altered Beast (set 8) (8751 317-0078)	—	Altered Beast (set 8) (8751 317-0078)	alias
amspdwy.zip	American Speedway	American Speedway (set 1)	—	American Speedway (set 1)	alias
androdun.zip	Andro Dunos	Andro Dunos (NGM-049 ~ NGH-049)	—	Andro Dunos (NGM-049 ~ NGH-049)	alias
androidp.zip	Android	Android (prototype, later build)	—	Android (prototype, later build)	alias
angelkds.zip	Angel Kids	Angel Kids	Japan	Angel Kids (Japan)	alias
aodk.zip	Aggressors of Dark Kombat	Aggressors of Dark Kombat / Tsuukai GANGAN Koushinkyoku (ADM-008 ~ ADH-008)	—	Aggressors of Dark Kombat / Tsuukai GANGAN Koushinkyoku (ADM-008 ~ ADH-008)	alias
aof.zip	Art of Fighting	Art of Fighting / Ryuuko no Ken (NGM-044 ~ NGH-044)	—	Art of Fighting / Ryuuko no Ken (NGM-044 ~ NGH-044)	alias
aof2.zip	Art of Fighting 2	Art of Fighting 2 / Ryuuko no Ken 2 (NGM-056)	—	Art of Fighting 2 / Ryuuko no Ken 2 (NGM-056)	alias
aof3.zip	Art of Fighting 3: The Path of the Warrior	Art of Fighting 3 - The Path of the Warrior / Art of Fighting - Ryuuko no Ken Gaiden	—	Art of Fighting 3 - The Path of the Warrior / Art of Fighting - Ryuuko no Ken Gaiden	alias
aoh.zip	Age of Heroes - Silkroad 2	Age Of Heroes - Silkroad 2 (v0.63 - 2001/02/07)	—	Age Of Heroes - Silkroad 2 (v0.63 - 2001/02/07)	alias
apb.zip	Apb - All Points Bulletin	APB - All Points Bulletin (rev 7)	—	APB - All Points Bulletin (rev 7)	alias
aquajack.zip	Aqua Jack	Aqua Jack	World	Aqua Jack (World)	alias
aquarium.zip	Aquarium (US)	Aquarium	USA	Aquarium (USA)	alias
arabfgt.zip	Arabian Fight	Arabian Fight	World	Arabian Fight (World)	alias
arabianm.zip	Arabian Magic	Arabian Magic (Ver 1.0O 1992/07/06)	—	Arabian Magic (Ver 1.0O 1992/07/06)	alias
arcadecl.zip	Arcade Classics	Arcade Classics (prototype)	—	Arcade Classics (prototype)	alias
arcadian.zip	Arcadia	Arcadia (NMK)	—	Arcadia (NMK)	alias
archrivl.zip	Arch Rivals	Arch Rivals (rev 4.0 6/29/89)	—	Arch Rivals (rev 4.0 6/29/89)	alias
arescue.zip	Air Rescue	Air Rescue	World	Air Rescue (World)	alias
arkanoid.zip	Arkanoid (World, older)	Arkanoid (older)	World	Arkanoid (older) (World)	alias
arkatour.zip	Tournament Arkanoid	Tournament Arkanoid (older)	USA	Tournament Arkanoid (older) (USA)	alias
arknoid2.zip	Arkanoid - Revenge Of Doh	Arkanoid - Revenge of DOH	World	Arkanoid - Revenge of DOH (World)	alias
arkretrn.zip	Arkanoid Returns	Arkanoid Returns (Ver 2.02O 1997/02/10)	—	Arkanoid Returns (Ver 2.02O 1997/02/10)	alias
armedf.zip	Armed Formation	Armed F	Japan	Armed F (Japan)	alias
armorcar.zip	Armored Car	Armored Car (set 1)	—	Armored Car (set 1)	alias
armwar.zip	Armored Warriors	Armored Warriors (Europe 941024)	—	Armored Warriors (Europe 941024)	alias
ashura.zip	Ashura Blaster	Ashura Blaster	World	Ashura Blaster (World)	alias
aso.zip	Alpha Mission	ASO - Armored Scrum Object	—	ASO - Armored Scrum Object	check
astdelux.zip	Asteroids Deluxe	Asteroids Deluxe (rev 3)	—	Asteroids Deluxe (rev 3)	alias
asteroid.zip	Asteroids	Asteroids (rev 4)	—	Asteroids (rev 4)	alias
astorm.zip	Alien Storm	Alien Storm (2 Players) (FD1094 317-0154)	World	Alien Storm (2 Players) (FD1094 317-0154) (World)	alias
astyanax.zip	The Astyanax	The Astyanax (EPROM version)	—	The Astyanax (EPROM version)	alias
asuka.zip	Asuka & Asuka	Asuka & Asuka	World	Asuka & Asuka (World)	alias
