system	file here	what the bytes are (No-Intro)	name on the server	server name is right
famicom	famicom/Exed Exes (Japan).zip	Chou Fuyuu Yousai - Exed Exes (Japan) (En)	Exed Exes (Japan)	
famicom	famicom/Garfield - A Week of Garfield (Japan).zip	Garfield no Isshukan (Japan) (En)	Garfield - A Week of Garfield (Japan)	
famicom	famicom/Miracle Ropit's Adventure in 2100 (Japan).zip	Miracle Ropit's - 2100 Nen no Daibouken (Japan)	Miracle Ropit's Adventure in 2100 (Japan)	
famicom	famicom/Tower of Druaga, The (Japan).zip	Druaga no Tou (Japan)	Tower of Druaga, The (Japan)	
gamegear	gamegear/Dropzone (Europe).gg	Archer Maclean's Dropzone (Europe)	Archer Maclean's Dropzone (Europe)	yes
gamegear	gamegear/Ichidant~R GG (Japan).gg	Puzzle & Action - Ichidanto-R (Japan)	Puzzle & Action - Ichidanto-R (Japan)	yes
gamegear	gamegear/Last Bible 1.gg	Megami Tensei Gaiden - Last Bible Special (Japan)	Megami Tensei Gaiden - Last Bible Special (Japan)	yes
gamegear	gamegear/Last Bible 2.gg	Megami Tensei Gaiden - Last Bible (Japan)	Megami Tensei Gaiden - Last Bible (Japan)	yes
gamegear	gamegear/Mick & Mack as the Global Gladiators (USA, Europe).gg	Global Gladiators (Europe)	Global Gladiators (Europe)	yes
gamegear	gamegear/RoboCop versus The Terminator (USA, Europe).gg	Terminator, The (USA, Europe)	Terminator, The (USA, Europe)	yes
gamegear	gamegear/S.S. Lucifer - Man Overboard! (Europe).gg	Man Overboard! (Europe)	Man Overboard! (Europe)	yes
gamegear	gamegear/Smurfs Travel the World, The (Europe).gg	Schtroumpfs Autour du Monde, Les (Europe) (En,Fr,De,Es)	Schtroumpfs Autour du Monde, Les (Europe) (En,Fr,De,Es)	yes
gamegear	gamegear/Sokoban World.gg	Soukoban (Japan) (En)	Soukoban (Japan) (En)	yes
gb	gb/Ace Striker.gb	Takeda Nobuhiro no Ace Striker (Japan)	Takeda Nobuhiro no Ace Striker (Japan)	yes
gb	gb/Arcade Classics - Battlezone & Super Breakout (USA, Europe).gb	Arcade Classics - Super Breakout & Battlezone (USA, Europe) (SGB Enhanced)	Arcade Classics - Super Breakout & Battlezone (USA, Europe) (SGB Enhanced)	yes
gb	gb/Contra Fidgetts.gb	Fidgetts, The (USA, Europe) (En,Fr,De,Es,It,Nl,Sv)	Fidgetts, The (USA, Europe) (En,Fr,De,Es,It,Nl,Sv)	yes
gb	gb/Fatal Fury.gb	Nettou Real Bout Garou Densetsu Special (Japan) (SGB Enhanced)	Nettou Real Bout Garou Densetsu Special (Japan) (SGB Enhanced)	yes
gb	gb/Little Indian in Big City.gb	Indien dans la Ville, Un (Europe) (SGB Enhanced)	Indien dans la Ville, Un (Europe) (SGB Enhanced)	yes
gb	gb/Mickey's Chase (USA).gb	Mickey's Dangerous Chase (USA)	Mickey's Dangerous Chase (USA)	yes
gb	gb/Mortal Kombat I & II (USA, Europe).gb	Mortal Kombat & Mortal Kombat II (USA, Europe)	Mortal Kombat & Mortal Kombat II (USA, Europe)	yes
gb	gb/Muhammad Ali's Boxing (USA, Europe).gb	Muhammad Ali Heavyweight Boxing (USA, Europe)	Muhammad Ali Heavyweight Boxing (USA, Europe)	yes
gb	gb/NHL Hockey 96.gb	NHL 96 (USA, Europe) (SGB Enhanced)	NHL 96 (USA, Europe) (SGB Enhanced)	yes
gb	gb/Snow Bros Jr..gb	Snow Brothers (USA)	Snow Brothers (USA)	yes
gb	gb/Taz-Mania 1.gb	Looney Tunes 2 - Tasmanian Devil in Island Chase (USA, Europe)	Looney Tunes 2 - Tasmanian Devil in Island Chase (USA, Europe)	yes
gb	gb/The Smurfs 2.gb	Smurfs Travel the World, The (Europe) (En,Fr,De,Es)	Smurfs Travel the World, The (Europe) (En,Fr,De,Es)	yes
gb	gb/The Smurfs 3.gb	Smurfs Nightmare, The (Europe) (En,Fr,De,Es)	Smurfs Nightmare, The (Europe) (En,Fr,De,Es)	yes
gb	gb/Wizardry Gaiden 2-Curse of the Ancient Emperor.gb	Wizardry Gaiden II - Kodai Koutei no Noroi (Japan)	Wizardry Gaiden II - Kodai Koutei no Noroi (Japan)	yes
gb	gb/Wizardry Gaiden 3-Scripture of the Dark.gb	Wizardry Gaiden III - Yami no Seiten (Japan)	Wizardry Gaiden III - Yami no Seiten (Japan)	yes
gb	gb/XVII Olympic Winter Games, The - Lillehammer 1994 (USA).gb	Winter Olympic Games (USA)	Winter Olympic Games (USA)	yes
gba	gba/International Karate Plus (USA).gba	IK+ (USA)	IK+ (USA)	yes
gbc	gbc/Asterix - Search for Dogmatix.gbc	Asterix - Sur la Trace D'Idefix (Europe) (En,Fr,De,Es,It,Nl)	Asterix - Sur la Trace D'Idefix (Europe) (En,Fr,De,Es,It,Nl)	yes
gbc	gbc/Bomberman Max-Ain Special Edition.gbc	Bomberman Max - Ain Version (Japan)	Bomberman Max - Ain Version (Japan)	yes
gbc	gbc/Daikatana (Europe).gbc	John Romero's Daikatana (Europe) (En,Fr,It)	John Romero's Daikatana (Europe) (En,Fr,It)	yes
gbc	gbc/Elmo's ABCs.gbc	Sesame Street - Elmo's ABCs (USA) (GB Compatible)	Sesame Street - Elmo's ABCs (USA) (GB Compatible)	yes
gbc	gbc/Moon Patrol & Spy Hunter.gbc	Midway Presents Arcade Hits - Moon Patrol & Spy Hunter (USA, Europe) (GB Compatible)	Midway Presents Arcade Hits - Moon Patrol & Spy Hunter (USA, Europe) (GB Compatible)	yes
gbc	gbc/Moorhen 3 - The Chicken Chase! (Europe).gbc	Moorhuhn 3 - ...Es Gibt Huhn! (Europe) (En,Fr,De,Es,It)	Moorhuhn 3 - ...Es Gibt Huhn! (Europe) (En,Fr,De,Es,It)	yes
gbc	gbc/N.Y. Race (Europe).gbc	NYR - New York Race (Europe) (En,Fr,De,Es,It,Pt)	NYR - New York Race (Europe) (En,Fr,De,Es,It,Pt)	yes
gbc	gbc/New Batman Adventures, The - Chaos in Gotham (USA).gbc	Batman - Chaos in Gotham (USA)	Batman - Chaos in Gotham (USA)	yes
gbc	gbc/One Piece-Dream of Rufi's Pirates is B.gbc	From TV Animation One Piece - Yume no Luffy Kaizokudan Tanjou! (Japan) (SGB Enhanced) (GB Compatible)	From TV Animation One Piece - Yume no Luffy Kaizokudan Tanjou! (Japan) (SGB Enhanced) (GB Compatible)	yes
gbc	gbc/Tintin - Prisoners of the Sun (Europe).gbc	Tintin - Le Temple Du Soleil (Europe) (En,Fr,De)	Tintin - Le Temple Du Soleil (Europe) (En,Fr,De)	yes
gbc	gbc/Total Soccer 2000 (Europe).gbc	David O'Leary's Total Soccer 2000 (Europe) (En,Fr,De,Es,It,Nl)	David O'Leary's Total Soccer 2000 (Europe) (En,Fr,De,Es,It,Nl)	yes
gbc	gbc/V-Rally - Championship Edition (USA).gbc	V-Rally - Edition 99 (USA) (En,Fr,Es)	V-Rally - Edition 99 (USA) (En,Fr,Es)	yes
gbc	gbc/Yoda Stories (USA).gbc	Star Wars - Yoda Stories (USA, Europe) (GB Compatible)	Star Wars - Yoda Stories (USA, Europe) (GB Compatible)	yes
mastersystem	mastersystem/Alex Kidd BMX Trial (Japan).sms	BMX Trial - Alex Kidd (Japan) (En)	BMX Trial - Alex Kidd (Japan) (En)	yes
mastersystem	mastersystem/Block Hole (Korea) (Unl).sms	Sagak-ui Bimil (Korea) (En)	Sagak-ui Bimil (Korea) (En)	yes
mastersystem	mastersystem/Comic Bakery (Korea).sms	Ppang Gongjang (Korea) (En)	Ppang Gongjang (Korea) (En)	yes
mastersystem	mastersystem/Mick & Mack as the Global Gladiators (Europe).sms	Global Gladiators (Europe, Brazil) (En)	Global Gladiators (Europe, Brazil) (En)	yes
mastersystem	mastersystem/Puznic (Korea) (Unl).sms	Puzzle Game (Korea) (En)	Puzzle Game (Korea) (En)	yes
mastersystem	mastersystem/Sangokushi 3 (Korea) (Unl).sms	Samgukji III - Cheonha Jaengpae (Korea)	Samgukji III - Cheonha Jaengpae (Korea)	yes
megadrive	megadrive/16t (Japan).zip	V-V (Japan) (En)	V-V (Japan, En)	yes
megadrive	megadrive/Aa Harimanada (Japan).zip	Jantei Monogatari (Japan)	雀偵物語 (Japan)	
megadrive	megadrive/Aworg (Japan).zip	Gynoug (Japan) (En)	Gynoug (Japan, En)	yes
megadrive	megadrive/Ball Jacks (Japan, Europe).zip	Bonanza Bros. (Japan, Europe) (En,Ja)	Bonanza Bros. (Japan, Europe, En,Ja)	yes
megadrive	megadrive/Ballz 3D - Fighting at Its Ballziest (USA, Europe).zip	Ballz 3D - The Battle of the Ballz (USA, Europe)	Ballz 3D - The Battle of the Ballz (USA, Europe)	yes
megadrive	megadrive/Beast Ball (USA) (Proto).zip	Fun Car Rally (USA) (Beta)	Fun Car Rally (USA, Beta)	yes
megadrive	megadrive/Bishoujo Senshi Sailor Moon (Japan).zip	Mugen Senshi Valis (Japan)	Mugen Senshi Valis (Japan)	yes
megadrive	megadrive/Bloodshot (Europe).zip	Cool Spot (Europe)	Cool Spot (Europe)	yes
megadrive	megadrive/Cheese Cat-Astrophe Starring Speedy Gonzales (Europe).zip	Golf Magazine Presents - 36 Great Holes Starring Fred Couples (Europe)	Cheese Cat-Astrophe Starring Speedy Gonzales (Europe)	
megadrive	megadrive/Chinese Fighter III (China) (Unl).zip	Tunshi Tiandi III (Taiwan) (Traditional)	Tunshi Tiandi III (Taiwan, Traditional)	yes
megadrive	megadrive/Chou Kyuukai Miracle Nine (Japan).zip	Daikoukai Jidai II (Japan)	Daikoukai Jidai II (Japan)	yes
megadrive	megadrive/Columns III - Revenge of Columns (USA).zip	Columns III - Taiketsu! Columns World (Japan, Korea) (Ja)	Columns III - Taiketsu! Columns World (Japan, Korea) (Ja)	yes
megadrive	megadrive/Crayon Shin-chan - Arashi o Yobu Enji (Japan).zip	Sangokushi Retsuden - Ransei no Eiyuutachi (Japan)	三国志列伝 (Japan)	
megadrive	megadrive/Curse (Japan).zip	OutRun (Japan) (En)	OutRun (Japan, En)	yes
megadrive	megadrive/Dangerous Seed (Japan).zip	Langrisser (Japan)	Langrisser (Japan)	yes
megadrive	megadrive/Davis Cup Tennis (USA, Europe).zip	Davis Cup World Tour (USA, Europe)	Davis Cup World Tour (USA, Europe)	yes
megadrive	megadrive/Desert Strike - Return To The Gulf (USA, Europe).zip	Desert Strike - Wangan Sakusen (Japan, Korea) (Ja)	Desert Strike - Wangan Sakusen (Japan, Korea, Ja)	yes
megadrive	megadrive/Devil's Course (Japan).zip	Devil Crash MD (Japan) (En)	Devil Crash MD (Japan, En)	yes
megadrive	megadrive/Devilish - The Next Possession (USA).zip	Mahjong Emo Ta - Devilish Mahjong Tower (Taiwan)	Mahjong Emo Ta - Devilish Mahjong Tower (Taiwan)	yes
megadrive	megadrive/Divine Sealing (Japan) (Unl).zip	Dial Q o Mawase! (Japan)	Dial Q o Mawase! (Japan)	yes
megadrive	megadrive/Doki Doki Penguin Land (Japan).zip	Chou Touryuu Retsuden - Dino Land (Japan) (En)	Dino Land (Japan, En)	
megadrive	megadrive/Doraemon - Yume Dorobou to 7 Nin no Gozans (Japan).zip	Air Management II - Koukuuou o Mezase (Japan)	Air Management II - Koukuuou o Mezase (Japan)	yes
megadrive	megadrive/Double Dragon II - The Revenge (Japan).zip	Nobunaga no Yabou - Bushou Fuuunroku (Japan)	Nobunaga's Ambition III (Japan)	
megadrive	megadrive/Eliminate Down (Japan).zip	Killing Game Show, The (Japan) (En)	Killing Game Show, The (Japan, En)	yes
megadrive	megadrive/Fido Dido (USA) (Proto).zip	Frog Dude (Europe) (Proto)	Frog Dude (Europe, Proto)	yes
megadrive	megadrive/Fix-It Felix Jr. (USA) (Unl).zip	Pitfall - The Mayan Adventure (USA)	Fix-It Felix Jr. (USA) (Unl)	
megadrive	megadrive/Flash Point (Japan) (Proto).zip	Shin Souseiki Ragnacenty (Japan) (Beta)	Soleil (Japan, Beta)	
megadrive	megadrive/Flink (Europe).zip	F1 (Europe)	F1 (Europe)	yes
megadrive	megadrive/Formula One (USA).zip	Corporation (Europe)	Corporation (Europe)	yes
megadrive	megadrive/Gaiares (Japan, USA).zip	Gauntlet (Japan) (En,Ja)	Gauntlet (Japan, En,Ja)	yes
megadrive	megadrive/Gouketsuji Ichizoku (Japan).zip	Koutetsu Teikoku (Japan)	Koutetsu Teikoku (Japan)	yes
megadrive	megadrive/Gunship (Europe).zip	Gynoug (Europe)	Gynoug (Europe)	yes
megadrive	megadrive/HardBall! (USA).zip	Al Michaels Announces HardBall III (USA, Europe)	Al Michaels Announces HardBall III (USA, Europe)	yes
megadrive	megadrive/Harukanaru Augusta (Japan).zip	Garou Densetsu 2 - Aratanaru Tatakai (Japan)	Fatal Fury 2 (Japan)	
megadrive	megadrive/Head-On Soccer (USA).zip	Fever Pitch Soccer (Europe) (En,Fr,De,Es,It)	Fever Pitch Soccer (Europe, En,Fr,De,Es,It)	yes
megadrive	megadrive/Heavy Unit - Mega Drive Special (Japan).zip	Dyna Brothers 2 Special (Japan) (Virtual Console)	Dyna Brothers 2 Special (Japan, Virtual Console)	yes
megadrive	megadrive/Honoo no Toukyuuji Dodge Danpei (Japan).zip	Nobunaga no Yabou - Haouden (Japan)	信長の野望・覇王伝 (Japan)	
megadrive	megadrive/Hyper Marbles (Japan).zip	Jewel Master (Japan) (En)	Jewel Master (Japan, En)	yes
megadrive	megadrive/It Came from the Desert (USA) (Proto).zip	Lufia & The Fortress of Doom (USA) (Proto)	Lufia & The Fortress of Doom (USA, Proto)	yes
megadrive	megadrive/Itchy and Scratchy Game, The (USA) (Proto).zip	Young Indiana Jones Chronicles, The (USA) (Beta)	Young Indiana Jones Chronicles, The (USA, Beta)	yes
megadrive	megadrive/John Madden Football '92 (USA, Europe).zip	John Madden Football - Pro Football (Japan) (En)	John Madden Football - Pro Football (Japan) (En)	yes
megadrive	megadrive/John Madden Football (USA, Europe).zip	Marko's Magic Football (Europe) (En,Fr,De,Es)	Marko's Magic Football (Europe, En,Fr,De,Es)	yes
megadrive	megadrive/Kiss Shot (Japan).zip	King Salmon (Japan)	King Salmon (Japan)	yes
megadrive	megadrive/Kyuukai Douchuuki (Japan).zip	Kyuukyoku Tiger (Japan) (En)	Twin Cobra (Japan, En)	
megadrive	megadrive/Ling Huan Daoshi - Super Magician (China) (Unl).zip	Menghuan Shuiguo Pan - 777 Casino (Taiwan)	Menghuan Shuiguo Pan - 777 Casino (Taiwan)	yes
megadrive	megadrive/Link Dragon (China) (Unl).zip	Taiwan Daheng (Taiwan)	Taiwan Daheng (Taiwan)	yes
megadrive	megadrive/Lobo (USA) (Proto).zip	Dominus (USA) (Proto) (Alt)	Dominus (USA, Proto, Alt)	yes
megadrive	megadrive/Magic Bubble (China) (Unl).zip	Sanguozhi V (Taiwan)	Sanguozhi V (Taiwan)	yes
megadrive	megadrive/Magical Hat no Buttobi Turbo! Daibouken (Japan).zip	Nobunaga no Yabou - Haouden (Japan)	信長の野望・覇王伝 (Japan)	
megadrive	megadrive/Magical Taruruuto-kun (Japan).zip	Janou Touryuumon (Japan)	雀皇登龍門 (Japan)	
megadrive	megadrive/Mamono Hunter Youko - Dai 7 no Keishou (Japan).zip	Landstalker - Koutei no Zaihou (Japan)	Landstalker (Japan)	
megadrive	megadrive/Master of Weapon (Japan).zip	Caesar no Yabou (Japan)	Ambition of Caesar (Japan)	
megadrive	megadrive/Medal City (Japan).zip	Samurai Spirits (Japan)	Samurai Shodown (Japan)	
megadrive	megadrive/Mega SWIV (Europe).zip	Mega Games I (USA, Europe)	Mega Games I (USA, Europe)	yes
megadrive	megadrive/MegaMind (Japan).zip	MegaTrax (Japan) (En)	MegaTrax (Japan, En)	yes
megadrive	megadrive/MegaPanel (Japan).zip	Ex-Ranza (Japan) (En)	Ex-Ranza (Japan, En)	yes
megadrive	megadrive/Metal Fangs (Japan).zip	Mega lo Mania (Japan)	Mega lo Mania (Japan)	yes
megadrive	megadrive/Mick & Mack as the Global Gladiators (USA).zip	Global Gladiators (Europe)	Global Gladiators (Europe)	yes
megadrive	megadrive/Might and Magic - Gates to Another World (USA, Europe).zip	Might and Magic III - Isles of Terra (USA) (Proto)	Might and Magic III - Isles of Terra (USA, Proto)	yes
megadrive	megadrive/NBA Action '94 (USA).zip	NBA Action '95 Starring David Robinson (USA, Europe)	NBA Action '95 Starring David Robinson (USA, Europe)	yes
megadrive	megadrive/NBA Live 98 (USA).zip	NBA Live Nong-gu 95 (Korea)	NBA Live Nong-gu 95 (Korea)	yes
megadrive	megadrive/NCAA Football (USA).zip	NFL Football '94 (Japan) (En)	NFL Football '94 (Japan) (En)	yes
megadrive	megadrive/NHL '94 (USA, Europe).zip	NHLPA Hockey 93 (USA, Europe) (Rev 1)	NHLPA Hockey 93 (USA, Europe, Rev 1)	yes
megadrive	megadrive/NHL 95 (USA, Europe).zip	Elitserien 95 (Sweden)	Elitserien 95 (Sweden)	yes
megadrive	megadrive/NHL Hockey (USA).zip	NHL '94 (USA, Europe)	NHL '94 (USA, Europe)	yes
megadrive	megadrive/Nakajima Satoru Kanshuu F1 Super License (Japan).zip	Ozaki Naomichi no Super Masters (Japan)	Ozaki Naomichi no Super Masters (Japan)	yes
megadrive	megadrive/New Zealand Story, The (Japan).zip	Hybrid Front, The (Japan)	Hybrid Front, The (Japan)	yes
megadrive	megadrive/Ninja Gaiden (Japan) (Proto).zip	Sonic Crackers (USA) (Proto)	Sonic Crackers (USA, Proto)	yes
megadrive	megadrive/Paddle Fighter (Japan).zip	Crude Buster (Japan) (En)	Crude Buster (Japan, En)	yes
megadrive	megadrive/Putter Golf (Japan).zip	Battle Golfer Yui (Japan)	Battle Golfer Yui (Japan)	yes
megadrive	megadrive/Puyo Puyo (Japan).zip	Juuouki (Japan) (En)	獣王記 (Japan, En)	
megadrive	megadrive/Puzzle & Action - Ichidanto-R (Japan).zip	F-117 Stealth - Operation - Night Storm (Japan)	F-117 Stealth - Operation - Night Storm (Japan)	yes
megadrive	megadrive/Puzzle & Action - Tanto-R (Japan).zip	Kuuga - Operation Code 'Vapor Trail' (Japan)	空牙 VAPOR TRAIL (Japan)	
megadrive	megadrive/Pyramid Magic (Japan).zip	Party Quiz Mega Q (Japan)	Party Quiz Mega Q (Japan)	yes
megadrive	megadrive/Pyramid Magic II (Japan).zip	Caesar no Yabou II (Japan)	Caesar no Yabou II (Japan)	yes
megadrive	megadrive/Pyramid Magic III (Japan).zip	Sangokushi III (Japan)	Sangokushi III (Japan)	yes
megadrive	megadrive/Pyramid Magic Special (Japan).zip	Wardner no Mori Special (Japan)	Wardner no Mori Special (Japan)	yes
megadrive	megadrive/R.B.I. Baseball '93 (USA).zip	NBA Pro Basketball '94 (Japan)	NBA Pro Basketball '94 (Japan)	yes
megadrive	megadrive/Sagaia (USA).zip	Soleil (France)	Soleil (France)	yes
megadrive	megadrive/Scrabble (Europe) (Proto).zip	Stargate (USA, Europe) (Beta)	Stargate (USA, Europe, Beta)	yes
megadrive	megadrive/Sensible Soccer - International Edition (Europe).zip	International Sensible Soccer (Europe) (En,Fr,De,It)	International Sensible Soccer (Europe, En,Fr,De,It)	yes
megadrive	megadrive/Shi Jie Zhi Bang Zheng Ba Zhan - World Pro Baseball 94 (China) (Unl).zip	San Guo Zhi Lie Zhuan - Luan Shi Qun Ying (Asia)	San Guo Zhi Lie Zhuan - Luan Shi Qun Ying (Asia)	yes
megadrive	megadrive/Shikinjoh (Japan).zip	Chelnov (Japan)	Chelnov (Japan)	yes
megadrive	megadrive/Shogi no Hoshi (Japan).zip	Ransei no Hasha (Japan)	天下統一 (Japan)	
megadrive	megadrive/Slap Fight MD (Japan).zip	A Ressha de Ikou MD (Japan)	Ａ列車で行こうＭＤ (Japan)	
