platform	artwork filed as	the ROM that name became
gba	International Karate Plus (USA)	IK+ (USA)
famicom	Saiyuuki World 2 - Tenjoukai no Majin (Japan) (Translated En)	Sanma no Mei Tantei (Japan)
megadrive	Kiss Shot (Japan)	King Salmon (Japan)
megadrive	Ling Huan Daoshi - Super Magician (China) (Unl)	Menghuan Shuiguo Pan - 777 Casino (Taiwan)
megadrive	Devil's Course (Japan)	Devil Crash MD (Japan, En)
megadrive	Bishoujo Senshi Sailor Moon (Japan)	Mugen Senshi Valis (Japan)
megadrive	Doraemon - Yume Dorobou to 7 Nin no Gozans (Japan)	Air Management II - Koukuuou o Mezase (Japan)
megadrive	Honoo no Toukyuuji Dodge Danpei (Japan)	信長の野望・覇王伝 (Japan)
megadrive	Pyramid Magic (Japan)	Party Quiz Mega Q (Japan)
megadrive	Scrabble (Europe) (Proto)	Stargate (USA, Europe, Beta)
megadrive	Crayon Shin-chan - Arashi o Yobu Enji (Japan)	三国志列伝 (Japan)
megadrive	Slap Fight MD (Japan)	Ａ列車で行こうＭＤ (Japan)
megadrive	Wani Wani World (Japan)	Slime World (Japan, En)
megadrive	Paddle Fighter (Japan)	Crude Buster (Japan, En)
megadrive	Puzzle & Action - Tanto-R (Japan)	空牙 VAPOR TRAIL (Japan)
megadrive	New Zealand Story, The (Japan)	Hybrid Front, The (Japan)
megadrive	Divine Sealing (Japan) (Unl)	Dial Q o Mawase! (Japan)
megadrive	Bloodshot (Europe)	Cool Spot (Europe)
megadrive	Putter Golf (Japan)	Battle Golfer Yui (Japan)
megadrive	Turma da Monica na Terra dos Monstros (Brazil)	Show do Milhao - Volume 2 (Brazil)
megadrive	Magic Bubble (China) (Unl)	Sanguozhi V (Taiwan)
megadrive	Beast Ball (USA) (Proto)	Fun Car Rally (USA, Beta)
megadrive	Fido Dido (USA) (Proto)	Frog Dude (Europe, Proto)
megadrive	Davis Cup Tennis (USA, Europe)	Davis Cup World Tour (USA, Europe)
megadrive	Pyramid Magic Special (Japan)	Wardner no Mori Special (Japan)
megadrive	16t (Japan)	V-V (Japan, En)
megadrive	Medal City (Japan)	Samurai Shodown (Japan)
megadrive	Gouketsuji Ichizoku (Japan)	Koutetsu Teikoku (Japan)
megadrive	Pyramid Magic II (Japan)	Caesar no Yabou II (Japan)
megadrive	Hyper Marbles (Japan)	Jewel Master (Japan, En)
megadrive	Gunship (Europe)	Gynoug (Europe)
megadrive	Squirrel King (China) (Unl)	Shiliu Zhang Mahjong - Xiangyan Meiren Pian (Taiwan)
megadrive	Lobo (USA) (Proto)	Dominus (USA, Proto, Alt)
megadrive	Twin Hawk (Japan, Europe)	Crack Down (Japan, En)
megadrive	Aa Harimanada (Japan)	雀偵物語 (Japan)
megadrive	Kyuukai Douchuuki (Japan)	Twin Cobra (Japan, En)
megadrive	Desert Strike - Return To The Gulf (USA, Europe)	Desert Strike - Wangan Sakusen (Japan, Korea, Ja)
megadrive	Verytex (Japan)	Volfied (Japan, En)
megadrive	Link Dragon (China) (Unl)	Taiwan Daheng (Taiwan)
megadrive	Yang Jia Jiang - Yang Warrior Family (China) (Unl)	Yimen Yinglie - Yangjia Jiang (Taiwan)
megadrive	Mr. Nutz 2 (USA) (Proto)	Mr. Nutz - Hoppin' Mad (Europe) (Proto)
megadrive	Waialae no Kiseki (Japan)	Bahamut Senki (Japan)
megadrive	Shikinjoh (Japan)	Chelnov (Japan)
megadrive	Shogi no Hoshi (Japan)	天下統一 (Japan)
megadrive	Aworg (Japan)	Gynoug (Japan, En)
megadrive	Ninja Gaiden (Japan) (Proto)	Sonic Crackers (USA, Proto)
megadrive	Super Tank War (China) (Unl)	Ah Q Lianhuan Pao (Taiwan)
megadrive	Chou Kyuukai Miracle Nine (Japan)	Daikoukai Jidai II (Japan)
megadrive	Ballz 3D - Fighting at Its Ballziest (USA, Europe)	Ballz 3D - The Battle of the Ballz (USA, Europe)
megadrive	Thunderbolt II (China) (Unl)	Leidian Chuanshuo II (Thunderbolt II, Taiwan, En)
megadrive	Gaiares (Japan, USA)	Gauntlet (Japan, En,Ja)
megadrive	Mamono Hunter Youko - Dai 7 no Keishou (Japan)	Landstalker (Japan)
megadrive	Columns III - Revenge of Columns (USA)	Columns III - Taiketsu! Columns World (Japan, Korea) (Ja)
megadrive	MegaMind (Japan)	MegaTrax (Japan, En)
megadrive	Eliminate Down (Japan)	Killing Game Show, The (Japan, En)
megadrive	Metal Fangs (Japan)	Mega lo Mania (Japan)
megadrive	Smurfs, The (Europe)	Ooze, The (Europe)
megadrive	Itchy and Scratchy Game, The (USA) (Proto)	Young Indiana Jones Chronicles, The (USA, Beta)
megadrive	Curse (Japan)	OutRun (Japan, En)
megadrive	Uzu Keobukseon (Korea)	Dongguri Techi Jakjeon (Korea)
megadrive	Sonic Classic Heroes (World) (Hack)	Sonic Compilation (USA, Europe, Korea) (En) (Rev A)
megadrive	Nakajima Satoru Kanshuu F1 Super License (Japan)	Ozaki Naomichi no Super Masters (Japan)
megadrive	Master of Weapon (Japan)	Ambition of Caesar (Japan)
megadrive	Twinkle Tale (Japan) (Translated En)	Olympic Gold (Japan, USA, Korea, En,Fr,De,Es,It,Nl,Pt,Sv, Rev A)
megadrive	Mega SWIV (Europe)	Mega Games I (USA, Europe)
megadrive	MegaPanel (Japan)	Ex-Ranza (Japan, En)
megadrive	Doki Doki Penguin Land (Japan)	Dino Land (Japan, En)
megadrive	Puyo Puyo (Japan)	獣王記 (Japan, En)
megadrive	Strider Returns - Journey from Darkness (USA)	Journey from Darkness - Strider Returns (USA)
megadrive	Ultraman (Japan)	Batman (Japan, En)
megadrive	Pyramid Magic III (Japan)	Sangokushi III (Japan)
megadrive	Dangerous Seed (Japan)	Langrisser (Japan)
megadrive	Barver Battle Saga - Tai Kong Zhan Shi (China) (Unl) (Translated En)	Taikong Zhanshi - Mofa Zhanshi (Barver Battle Saga, Taiwan)
megadrive	Sensible Soccer - International Edition (Europe)	International Sensible Soccer (Europe, En,Fr,De,It)
megadrive	Flink (Europe)	F1 (Europe)
megadrive	Teddy Boy Blues (Japan)	NBA Playoffs - Bulls vs Blazers (Japan)
megadrive	Harukanaru Augusta (Japan)	Fatal Fury 2 (Japan)
megadrive	Double Dragon II - The Revenge (Japan)	Nobunaga's Ambition III (Japan)
megadrive	Putty Squad (Europe) (Proto)	Bubba 'N' Stix (Europe) (Beta)
megadrive	Flash Point (Japan) (Proto)	Soleil (Japan, Beta)
megadrive	Project MD (World) (Unl)	Sonic the Hedgehog 2 (World) (Hack)
megadrive	Fastest 1 (Japan)	Flashback (Japan)
megadrive	It Came from the Desert (USA) (Proto)	Lufia & The Fortress of Doom (USA, Proto)
megadrive	Chinese Fighter III (China) (Unl)	Tunshi Tiandi III (Taiwan, Traditional)
megadrive	Ball Jacks (Japan, Europe)	Bonanza Bros. (Japan, Europe, En,Ja)
megadrive	HardBall! (USA)	Al Michaels Announces HardBall III (USA, Europe)
megadrive	Smurfs Travel the World, The (Europe)	Schtroumpfs Autour du Monde, Les (Europe, En,Fr,De,Es)
megadrive	Magical Taruruuto-kun (Japan)	雀皇登龍門 (Japan)
megadrive	Puzzle & Action - Ichidanto-R (Japan)	F-117 Stealth - Operation - Night Storm (Japan)
megadrive	Heavy Unit - Mega Drive Special (Japan)	Dyna Brothers 2 Special (Japan, Virtual Console)
megadrive	Shi Jie Zhi Bang Zheng Ba Zhan - World Pro Baseball 94 (China) (Unl)	San Guo Zhi Lie Zhuan - Luan Shi Qun Ying (Asia)
megadrive	Tetris (Japan)	SD Valis (Japan)
gamegear	Last Bible 1	Megami Tensei Gaiden - Last Bible Special (Japan)
gamegear	S.S. Lucifer - Man Overboard! (Europe)	Man Overboard! (Europe)
gamegear	Smurfs Travel the World, The (Europe)	Schtroumpfs Autour du Monde, Les (Europe) (En,Fr,De,Es)
gamegear	Sokoban World	Soukoban (Japan) (En)
gamegear	Ichidant~R GG (Japan)	Puzzle & Action - Ichidanto-R (Japan)
gamegear	Last Bible 2	Megami Tensei Gaiden - Last Bible (Japan)
gamegear	Mick & Mack as the Global Gladiators (USA, Europe)	Global Gladiators (Europe)
gamegear	Dropzone (Europe)	Archer Maclean's Dropzone (Europe)
gamegear	RoboCop versus The Terminator (USA, Europe)	Terminator, The (USA, Europe)
nes	Marvel's X-Men (U) [a1]	Uncanny X-Men, The (USA) (Alt)
nes	Marvel's X-Men (U)	Uncanny X-Men, The (USA)
nes	T&C Surf Design (U)	Town & Country Surf Designs - Wood & Water Rage (USA)
snes	Spawn (USA)	Todd McFarlane's Spawn - The Video Game (USA)
snes	Super Bomberman 5 Gold Cartridge (J) [!]	Super Bomberman 5 - Caravan Event Ban (Japan)
snes	R.P.M. Racing (USA)	Radical Psycho Machine Racing (USA)
snes	Jammit (USA)	Street Sports - Jammit (USA)
snes	Street Hockey '95 (USA)	Street Sports - Street Hockey '95 (USA)
sfc	Aryol (Japan)	Ugoku E Ver. 2.0 - Aryol (Japan) (En,Ja)
sfc	Kikou Keisatsu Metal Jack (Japan)	Armored Police - Metal Jack (Japan)
sfc	Jikkyou Power Pro Wrestling '96 - Max Voltage (Japan) (Translated En)	Jikkyou Powerful Pro Yakyuu '96 - Kaimaku Ban (Japan) (Rev 1)
sfc	Masters - Harukanaru Augusta 2 (Japan)	Harukanaru Augusta 2 - Masters (Japan)
sfc	Masters New - Harukanaru Augusta 3 (Japan)	Harukanaru Augusta 3 - Masters New (Japan)
sfc	Jikkyou Powerful Pro Yakyuu '96 - Kaimaku Ban (Japan)	Furuta Atsuya no Simulation Pro Yakyuu 2 (Japan)
sfc	Assault Suits Valken (Japan) (Translated En)	Juusou Kihei Valken (Japan)
