what	file	became
renamed	gba/MLB SlugFest 20-04 (USA).gba	gba/MLB SlugFest 2004 (USA).gba
renamed	gba/Sips.gba	gba/Sips (World) (GBA WinterJam 2023).gba
renamed	gba/Hugo - The Evil Mirror Advance (USA) (En,Fr,Es).gba	gba/Hugo - The Evil Mirror (USA) (En,Fr,Es).gba
renamed	gba/Sim City 2000 (USA).gba	gba/SimCity 2000 (USA).gba
renamed	gba/International Karate Plus (USA).gba	gba/IK+ (USA).gba
renamed	gba/Apotris.gba	gba/Apotris (World) (v4.0.2).gba
renamed	gba/Speedball 2 - Brutal Deluxe (Europe) (En,Fr,De,Es,It).gba	gba/Speedball 2 (Europe) (En,Fr,De,Es,It).gba
renamed	gba/GBA Personal Organizer (USA) (Unl).gba	gba/GBA Personal Organizer (USA).gba
renamed	gba/Grand Theft Auto Advance (USA).gba	gba/Grand Theft Auto (USA).gba
renamed	gba/World Reborn (USA) (Unl).gba	gba/World Reborn (USA).gba
renamed	gba/Advance Wars 2 - Black Hole Rising (USA, Australia).gba	gba/Advance Wars 2 - Black Hole Rising (USA).gba
renamed	gba/NHL Hitz 20-03 (USA).gba	gba/NHL Hitz 2003 (USA).gba
renamed	gba/Mario Tennis - Power Tour (USA, Australia).zip	gba/Mario Tennis - Power Tour (USA, Australia) (En,Fr,De,Es,It).zip
renamed	gba/Ninja Five-0 (USA).gba	gba/Ninja Five-O (USA).gba
renamed	gba/Aero the Acro-Bat - Rascal Rival Revenge (USA).gba	gba/Aero the Acro-Bat (USA).gba
renamed	gba/GameShark GBA (USA) (Unl).gba	gba/GameShark GBA (USA).gba
renamed	gba/CodeBreaker (USA) (Unl).gba	gba/CodeBreaker (USA).gba
renamed	gba/Pokemon - Aurora Ticket Distribution (USA).gba	gba/Pokemon - Aurora Ticket Distribution (USA) (Kiosk).gba
renamed	gba/Jonny Moseley Mad Trix (USA, Europe) (En,Fr,De,Es,It).gba	gba/Jonny Moseley Mad Trix (USA) (En,Fr,De,Es,It).gba
