# Games on the Super Game HDD that your server does not have, rated 80+.
# Rating is the one already in that drive's own gamelist.xml, not my opinion.
platform	game	rating	size_mb	source_folder	path_on_drive
3do	Primal Rage (USA, Europe)	100	195	3do	./roms/USA/Primal Rage (USA, Europe).chd
amiga500	QIX	100	0	amiga500	./roms/QIX.zip
amiga500	Supaplex	100	0	amiga500	./roms/Supaplex.zip
amiga500	Swords And Galleons	100	1	amiga500	./roms/Swords And Galleons.zip
amiga500	Troddlers	100	1	amiga500	./roms/Troddlers.zip
amiga500	Anarchy	100	1	amiga500	./roms/Anarchy.zip
amstradcpc	Saint Dragon (E)	100	0	amstradcpc	./roms/St Dragon (E).zip
atari2600	Phaser Patrol (USA)	100	0	atari2600	./roms/Phaser Patrol (USA).zip
atari2600	Tunnel Runner (USA)	100	0	atari2600	./roms/Tunnel Runner (USA).zip
atari2600	Solar Fox (USA)	100	0	atari2600	./roms/Solar Fox (USA).zip
atari5200	Miner 2049er Starring Bounty Bob (USA)	100	0	atari5200	./roms/Miner 2049er Starring Bounty Bob (USA).zip
atari7800	Tomcat : The F-14 Fighter Simulator (USA)	100	0	atari7800	./roms/Tomcat - The F-14 Fighter Simulator (USA).7z
c64	Altered Beast (USA)	100	0	c64	./roms/Altered Beast (USA).zip
c64	Creatures (Europe)	100	0	c64	./roms/Creatures (Europe).zip
c64	Fort Apocalypse (USA)	100	0	c64	./roms/Fort Apocalypse (USA).zip
c64	Gyropod (Europe)	100	0	c64	./roms/Gyropod (Europe).zip
c64	Super Hang-On (Europe)	100	0	c64	./roms/Super Hang-On (Europe).zip
c64	Zoom! (Europe)	100	0	c64	./roms/Zoom! (Europe).zip
colecovision	War Games (USA, Europe)	100	0	colecovision	./roms/War Games (USA, Europe).zip
famicom	Summer Carnival '92 : Recca (Japan) (Translated En)	100	0	famicom	./roms/Summer Carnival '92 - Recca (Japan) (Translated En).zip
gb	Puzznic (Japan)	100	0	gb	./roms/Puzznic (Japan).zip
gb	Superman (USA, Europe)	100	0	gb	./roms/Superman (USA, Europe).zip
gb	Osawagase! Penguin Boy (USA, Europe)	100	0	gb	./roms/Amazing Penguin (USA, Europe).zip
gba	Classic NES Series - Xevious (USA, Europe)	100	4	gba	./roms/Classic NES Series - Xevious (USA, Europe).zip
intellivision	Boxing (World)	100	0	intellivision	./roms/Boxing (World).zip
intellivision	Mouse Trap (World)	100	0	intellivision	./roms/Mouse Trap (World).zip
intellivision	Sea Battle (World)	100	0	intellivision	./roms/Sea Battle (World).zip
megadrive	Nikkan Sports Pro Yakyuu Van (Japan)	100	0	megadrive	./roms/Japan/Nikkan Sports Pro Yakyuu Van (Japan).zip
msx2	Metal Gear (Europe)	100	0	msx2	./roms/Metal Gear (Europe).zip
n64	F1 Racing Championship (Europe) (En,Fr,De,Es,It)	100	15	n64	./roms/USA/F1 Racing Championship (Europe) (En,Fr,De,Es,It).zip
n64	F-1 World Grand Prix II (Europe) (En,Fr,De,Es)	100	10	n64	./roms/USA/F-1 World Grand Prix II (Europe) (En,Fr,De,Es).zip
n64	Indy Racing 2000 (USA)	100	11	n64	./roms/USA/Indy Racing 2000 (USA).zip
nds	Avalon Code (USA)	100	61	nds	./roms/Avalon Code (USA).7z
nds	Diddy Kong Racing DS (USA)	100	20	nds	./roms/Diddy Kong Racing DS (USA).7z
nds	Giana Sisters Ds (USA)	100	4	nds	./roms/Giana Sisters DS (USA).7z
nds	Hoshi no Kirby - Ultra Super Deluxe (USA)	100	58	nds	./roms/Kirby Super Star Ultra (USA).7z
nds	Soul Bubbles (USA)	100	19	nds	./roms/Soul Bubbles (USA).7z
nds	Spider-Man 3 (USA)	100	35	nds	./roms/Spider-Man 3 (USA).7z
nes	Aussie Rules Footy (Australia)	100	0	nes	./roms/Aussie Rules Footy (Australia).zip
ngc	International Superstar Soccer 2 (Europe)	100	727	gamecube	./roms/International Superstar Soccer 2 (Europe).rvz
ngc	Nba Live 06 (USA)	100	1009	gamecube	./roms/NBA Live 06 (USA).rvz
ngc	NBA Street Vol.3 (USA)	100	999	gamecube	./roms/NBA Street V3 (USA).rvz
ngc	V-Rally 3 (Europe)	100	944	gamecube	./roms/V-Rally 3 (Europe).rvz
