# Per-platform want-lists by consensus: Time Extension reader rankings
# (main list plus the genre list where one exists) and Wikipedia's cited
# 'listed among the best'. votes = how many of those carry the game.
platform	game	votes	status	path_on_drive
3do	Samurai Shodown	2	on_disk	./roms/USA/Samurai Shodown (USA, Europe).chd
3do	Star Control II	2	on_disk	./roms/USA/Star Control II (USA, Europe).chd
3do	Wolfenstein 3D	2	on_disk	./roms/USA/Wolfenstein 3D (USA).chd
3do	Advanced Dungeons & Dragons: Slayer	1	on_disk	./roms/USA/Slayer (USA).chd
3do	Blade Force	1	on_disk	./roms/USA/Blade Force (USA).chd
3do	Crash 'n Burn	1	on_disk	./roms/USA/Crash 'n Burn (USA).chd
3do	FIFA International Soccer	1	on_disk	./roms/USA/FIFA International Soccer (USA).chd
3do	Gex	1	on_disk	./roms/USA/Gex (USA, Europe).chd
3do	Guardian War	1	source	
3do	Immercenary	1	on_disk	./roms/USA/Immercenary (USA).chd
3do	John Madden Football	1	source	
3do	Killing Time	1	on_disk	./roms/USA/Killing Time (USA).chd
3do	Lucienne's Quest	1	source	
3do	Off-World Interceptor	1	on_disk	./roms/USA/Off-world Interceptor (USA, Europe).chd
3do	Return Fire	1	have	
3do	Road Rash	1	on_disk	./roms/USA/Road Rash (USA).chd
3do	Super Street Fighter II Turbo	1	on_disk	./roms/USA/Super Street Fighter II Turbo (USA).chd
3do	The Horde	1	source	
3do	The Need For Speed	1	source	
3do	Total Eclipse	1	have	
dc	Ikaruga	2	on_disk	./roms/Ikaruga (Japan).chd
dc	Jet Set Radio	2	on_disk	./roms/Jet Set Radio (Europe).chd
dc	Marvel vs. Capcom 2: New Age Of Heroes	2	source	
dc	Quake III Arena	2	on_disk	./roms/Quake III Arena (USA).chd
dc	Rez	2	have	
dc	Shenmue	2	have	
dc	Skies Of Arcadia	2	on_disk	./roms/Skies of Arcadia (USA) (Disc 1).chd
dc	Soulcalibur	2	have	
dc	Bangai-O	1	on_disk	./roms/Bangai-O (USA).chd
dc	Border Down	1	on_disk	./roms/Border Down (Japan).chd
dc	Capcom vs. SNK 2: Mark of the Millennium 2001	1	source	
dc	ChuChu Rocket!	1	have	
dc	Cosmic Smash	1	on_disk	./roms/Cosmic Smash (Japan).chd
dc	Crazy Taxi 2	1	have	
dc	Cyber Troopers Virtual-On Oratorio Tangram	1	source	
dc	Daytona USA 2001	1	source	
dc	Dead Or Alive 2	1	on_disk	./roms/Dead or Alive 2 (USA).chd
dc	Ferrari F355 Challenge	1	source	
dc	Garou: Mark Of The Wolves	1	source	
